transaction_id,customer_id,date,amount,service_type
T0000061,C01040,2/5/2024,51.77,Airtime
T0000062,C01421,2/8/2025,53.81,Bills
T0000063,C00939,12/21/2024,20.45,Bills
T0000064,C01440,5/1/2024,97.62,Transfers
T0000065,C01702,8/19/2024,91.15,Savings
T0000066,C01938,4/13/2025,52.88,Savings
T0000067,C02627,7/7/2024,86.7,Bills
T0000068,C00071,5/29/2025,53.06,Transfers
T0000069,C00074,9/15/2024,29.31,Lending
T0000070,C02462,8/13/2024,157.45,Airtime
T0000071,C01825,12/30/2024,42.64,Bills
T0000072,C01948,5/31/2024,50.77,Transfers
T0000073,C00842,7/9/2024,73.3,Lending
T0000074,C01842,11/15/2024,54.93,Bills
T0000075,C02556,12/30/2024,75.09,Bills
T0000076,C00642,4/29/2025,71.66,Airtime
T0000077,C01060,3/7/2024,58.9,Lending
T0000078,C01760,8/14/2024,27.04,Savings
T0000079,C00103,7/14/2024,99.51,Transfers
T0000080,C02982,1/28/2024,21.61,Bills
T0000081,C01991,5/10/2025,58.36,Transfers
T0000082,C01856,8/15/2024,11.18,Bills
T0000083,C01223,6/5/2024,19.16,Lending
T0000084,C00767,4/14/2024,44.75,Bills
T0000085,C00542,4/26/2024,38.87,Bills
T0000086,C01977,1/6/2024,100.53,Lending
T0000087,C00826,5/14/2024,61.22,Transfers
T0000088,C02306,1/30/2024,28.76,Bills
T0000089,C02851,1/2/2025,37.85,Transfers
T0000090,C02904,9/28/2024,52.17,Bills
T0000091,C01722,11/22/2024,70.28,Transfers
T0000092,C01877,7/23/2024,22.85,Savings
T0000093,C01964,1/13/2025,27.07,Transfers
T0000094,C00212,11/6/2024,81.43,Transfers
T0000095,C01005,12/25/2024,57.51,Airtime
T0000096,C00303,4/12/2024,70.05,Bills
T0000097,C00594,11/15/2024,20.67,Savings
T0000098,C00611,4/9/2025,63.64,Airtime
T0000099,C02345,4/20/2024,92.81,Bills
T0000100,C02034,5/9/2024,16.98,Savings
T0000101,C00202,6/28/2025,64.17,Bills
T0000102,C01150,8/1/2024,76.65,Transfers
T0000103,C00668,11/12/2024,66.75,Savings
T0000104,C01791,2/5/2025,27.24,Bills
T0000105,C00441,8/13/2024,35.7,Savings
T0000106,C02864,1/25/2024,62.48,Savings
T0000107,C01862,6/13/2024,82.67,Lending
T0000108,C00740,1/26/2025,45.66,Lending
T0000109,C02979,5/26/2025,74.51,Bills
T0000110,C02824,5/11/2025,37.42,Transfers
T0000111,C02630,4/30/2024,108.18,Bills
T0000112,C02975,12/13/2024,34.95,Transfers
T0000113,C01505,2/28/2025,64.9,Savings
T0000114,C02505,10/30/2024,98.76,Bills
T0000115,C01959,5/15/2025,42.7,Transfers
T0000116,C00928,6/27/2024,39.27,Transfers
T0000117,C00368,4/24/2025,44.94,Lending
T0000118,C01028,4/21/2024,49.48,Lending
T0000119,C01253,5/4/2025,12.85,Savings
T0000120,C02897,3/1/2025,27.54,Savings
T0000121,C02665,2/11/2025,80.48,Lending
T0000122,C02468,4/2/2025,11.28,Bills
T0000123,C00267,4/26/2024,43.6,Transfers
T0000124,C02671,1/19/2024,33.99,Airtime
T0000125,C02130,1/26/2025,50.31,Bills
T0000126,C01830,2/1/2025,92.77,Transfers
T0000127,C02325,7/28/2024,90.74,Savings
T0000128,C00383,6/8/2024,32.46,Bills
T0000129,C00435,1/21/2024,38.56,Bills
T0000130,C01902,6/20/2024,39.85,Bills
T0000131,C01026,7/28/2024,44.27,Transfers
T0000132,C00052,9/23/2024,30.87,Airtime
T0000133,C01607,7/14/2024,44.86,Bills
T0000134,C02664,3/2/2024,15.84,Transfers
T0000135,C01646,5/12/2024,47.54,Savings
T0000136,C00271,4/20/2024,48.98,Transfers
T0000137,C00350,12/1/2024,48.02,Airtime
T0000138,C00361,9/29/2024,22.62,Lending
T0000139,C01938,10/16/2024,68.73,Savings
T0000140,C02601,4/21/2025,82.5,Transfers
T0000141,C01370,2/3/2025,113.96,Savings
T0000142,C00787,1/26/2025,16.48,Transfers
T0000143,C01378,5/2/2024,40.1,Savings
T0000144,C01728,5/8/2025,6.96,Bills
T0000145,C00273,11/21/2024,29.42,Transfers
T0000146,C02227,1/30/2025,86.71,Transfers
T0000147,C02075,1/1/2025,54.24,Transfers
T0000148,C00786,8/14/2024,68.25,Transfers
T0000149,C00015,6/20/2025,61.17,Transfers
T0000150,C01611,12/1/2024,46.65,Transfers
T0000151,C02339,2/13/2025,63.27,Transfers
T0000152,C02186,3/7/2025,59.19,Savings
T0000153,C00722,12/2/2024,78.26,Bills
T0000154,C01583,2/4/2025,236.09,Bills
T0000155,C01325,4/12/2025,27.66,Savings
T0000156,C00065,5/3/2025,54.88,Airtime
T0000157,C00491,4/19/2025,41.84,Transfers
T0000158,C02579,3/28/2024,38.75,Airtime
T0000159,C00611,4/22/2025,88.27,Airtime
T0000160,C01481,5/16/2025,30.63,Bills
T0000161,C00706,3/23/2024,27.75,Transfers
T0000162,C02790,3/7/2024,80.25,Bills
T0000163,C02449,7/5/2024,36.21,Transfers
T0000164,C02265,6/5/2025,29.96,Transfers
T0000165,C00089,5/22/2025,210.23,Savings
T0000166,C01467,4/6/2024,76.44,Bills
T0000167,C02789,4/26/2024,58.36,Lending
T0000168,C02213,2/19/2024,42.32,Lending
T0000169,C02945,2/16/2024,98.05,Savings
T0000170,C00505,11/16/2024,31.65,Airtime
T0000171,C00969,3/13/2024,121.51,Transfers
T0000172,C00721,11/24/2024,137.19,Bills
T0000173,C02464,2/7/2024,68.61,Bills
T0000174,C02088,1/8/2025,107.38,Savings
T0000175,C01100,2/15/2024,48.08,Lending
T0000176,C00355,9/16/2024,35.55,Bills
T0000177,C00565,7/8/2024,74.63,Airtime
T0000178,C01287,1/10/2024,53.19,Transfers
T0000179,C02505,8/12/2024,16.48,Bills
T0000180,C01072,2/6/2025,60.25,Bills
T0000181,C01649,3/10/2024,39.49,Transfers
T0000182,C01526,7/31/2024,67.05,Bills
T0000183,C01778,6/18/2025,27.44,Transfers
T0000184,C02330,8/8/2024,27.01,Bills
T0000185,C01769,9/16/2024,54.6,Airtime
T0000186,C00358,3/10/2024,106.72,Savings
T0000187,C02592,6/25/2024,16.32,Lending
T0000188,C00563,1/15/2024,60.06,Transfers
T0000189,C00329,8/20/2024,41.17,Transfers
T0000190,C02985,5/1/2024,54.79,Airtime
T0000191,C00955,10/21/2024,31.4,Lending
T0000192,C01341,4/21/2024,35.73,Bills
T0000193,C02679,6/21/2024,55.92,Bills
T0000194,C00929,7/4/2024,56.65,Bills
T0000195,C01872,10/5/2024,47.91,Bills
T0000196,C00079,7/5/2024,69.32,Bills
T0000197,C00279,8/2/2024,23.29,Airtime
T0000198,C01414,1/6/2025,63.97,Bills
T0000199,C01866,10/1/2024,127.96,Bills
T0000200,C00674,5/14/2025,34.92,Savings
T0000201,C01757,3/2/2024,43.85,Transfers
T0000202,C00606,5/26/2025,49.74,Airtime
T0000203,C02004,10/11/2024,60.42,Transfers
T0000204,C00968,12/17/2024,74.32,Transfers
T0000205,C02404,7/29/2024,80.21,Airtime
T0000206,C00347,5/16/2024,125.05,Savings
T0000207,C01597,1/26/2024,60.69,Savings
T0000208,C01171,4/21/2025,112.22,Transfers
T0000209,C00741,6/14/2025,49.1,Transfers
T0000210,C00696,12/12/2024,78.74,Lending
T0000211,C01234,3/1/2024,99.94,Airtime
T0000212,C01325,9/15/2024,49.6,Savings
T0000213,C00763,5/26/2024,105.73,Transfers
T0000214,C01317,5/26/2024,35.46,Lending
T0000215,C01932,7/1/2024,38.34,Savings
T0000216,C01566,12/13/2024,15.22,Transfers
T0000217,C02720,2/4/2025,91.49,Lending
T0000218,C02418,3/6/2024,34.5,Transfers
T0000219,C00463,1/25/2025,53,Transfers
T0000220,C02511,4/10/2025,78.44,Airtime
T0000221,C02422,4/3/2024,79.31,Transfers
T0000222,C02064,6/18/2025,28.63,Lending
T0000223,C01965,6/22/2025,56.15,Bills
T0000224,C00379,1/11/2024,79.57,Transfers
T0000225,C01360,9/26/2024,20.22,Transfers
T0000226,C01843,3/1/2024,54.53,Bills
T0000227,C02574,2/25/2024,108.39,Transfers
T0000228,C00051,5/5/2025,18.11,Bills
T0000229,C01101,12/22/2024,154.22,Transfers
T0000230,C01416,9/1/2024,61.38,Transfers
T0000231,C00632,5/26/2025,20.87,Transfers
T0000232,C01949,9/24/2024,70.24,Bills
T0000233,C00455,10/1/2024,53.55,Bills
T0000234,C00098,1/2/2024,47.92,Lending
T0000235,C02815,1/11/2024,66.03,Transfers
T0000236,C02404,1/15/2025,45.08,Bills
T0000237,C02602,7/5/2024,80.22,Bills
T0000238,C00836,12/17/2024,50.67,Bills
T0000239,C02155,1/13/2024,43.95,Transfers
T0000240,C00318,4/7/2025,49.89,Transfers
T0000241,C02390,11/5/2024,43.82,Lending
T0000242,C01904,5/21/2025,21.91,Transfers
T0000243,C00054,2/7/2025,88.22,Bills
T0000244,C02844,4/10/2025,58.92,Airtime
T0000245,C02561,11/18/2024,55.93,Bills
T0000246,C02608,12/23/2024,63.59,Transfers
T0000247,C01176,4/29/2025,19.89,Savings
T0000248,C01454,9/29/2024,150.93,Bills
T0000249,C01234,6/12/2024,27.8,Savings
T0000250,C01106,5/28/2024,20.05,Bills
T0000251,C00387,5/31/2025,135.91,Savings
T0000252,C01301,9/24/2024,44.24,Transfers
T0000253,C02903,6/2/2025,53.96,Transfers
T0000254,C00475,5/8/2024,123.36,Airtime
T0000255,C02701,12/3/2024,13.96,Transfers
T0000256,C02293,2/11/2025,26.23,Bills
T0000257,C01024,8/14/2024,48.67,Bills
T0000258,C00809,1/23/2025,14.91,Lending
T0000259,C02138,3/3/2025,29.92,Transfers
T0000260,C01883,5/14/2025,27.76,Bills
T0000261,C00162,9/30/2024,69.03,Transfers
T0000262,C02123,4/12/2024,46.2,Airtime
T0000263,C00578,6/2/2025,51.63,Bills
T0000264,C02881,7/7/2024,58.52,Bills
T0000265,C01597,8/27/2024,79.26,Savings
T0000266,C02522,10/14/2024,62.02,Transfers
T0000267,C00876,12/25/2024,82.62,Lending
T0000268,C01601,1/9/2025,229.58,Transfers
T0000269,C00434,3/7/2025,75.79,Lending
T0000270,C02723,1/29/2024,26.49,Savings
T0000271,C01661,1/22/2024,55.74,Airtime
T0000272,C02876,3/31/2024,52.39,Transfers
T0000273,C00915,1/24/2025,67.64,Transfers
T0000274,C01913,4/20/2024,53.14,Transfers
T0000275,C01373,8/21/2024,50.5,Bills
T0000276,C00529,12/10/2024,31.31,Savings
T0000277,C02694,2/12/2024,27.83,Airtime
T0000278,C00063,5/12/2024,48.9,Bills
T0000279,C01243,4/15/2025,22.6,Bills
T0000280,C02655,6/22/2025,49.44,Bills
T0000281,C00654,2/11/2024,48.76,Bills
T0000282,C01280,5/14/2024,60.98,Transfers
T0000283,C00213,6/13/2024,30.8,Savings
T0000284,C02275,7/12/2024,103.58,Bills
T0000285,C01042,2/15/2025,36.08,Transfers
T0000286,C02724,6/18/2025,7.92,Bills
T0000287,C01967,3/7/2025,51.83,Transfers
T0000288,C01810,5/13/2024,25.31,Savings
T0000289,C02341,1/26/2024,32.05,Transfers
T0000290,C01566,3/27/2024,52.11,Bills
T0000291,C02234,5/1/2025,67.28,Transfers
T0000292,C00543,6/17/2024,64.83,Lending
T0000293,C02870,7/23/2024,87.94,Bills
T0000294,C00567,10/26/2024,154.69,Airtime
T0000295,C00225,6/21/2025,22.24,Transfers
T0000296,C00443,1/20/2025,103.81,Lending
T0000297,C00667,3/5/2025,19.86,Transfers
T0000298,C00389,2/15/2025,29.15,Bills
T0000299,C01868,11/2/2024,52.21,Bills
T0000300,C02080,2/26/2024,36.93,Transfers
T0000301,C00708,10/30/2024,45.87,Transfers
T0000302,C00126,2/12/2025,167.39,Airtime
T0000303,C01660,5/14/2024,33.77,Transfers
T0000304,C01159,6/20/2025,89.61,Bills
T0000305,C00299,2/14/2024,23.91,Airtime
T0000306,C01695,10/14/2024,90.44,Transfers
T0000307,C01908,4/22/2025,46.8,Transfers
T0000308,C00866,11/30/2024,186.76,Transfers
T0000309,C01584,1/8/2024,73.75,Transfers
T0000310,C00050,7/1/2024,54.64,Transfers
T0000311,C01902,11/3/2024,91.07,Transfers
T0000312,C00198,4/15/2024,81.23,Transfers
T0000313,C01794,1/6/2025,57.86,Transfers
T0000314,C00419,6/22/2025,27.83,Transfers
T0000315,C00687,2/26/2024,24.43,Bills
T0000316,C01325,6/2/2025,99.21,Transfers
T0000317,C01474,1/11/2024,67.62,Lending
T0000318,C02337,3/15/2025,68.29,Bills
T0000319,C00253,2/20/2025,72.73,Transfers
T0000320,C00918,4/29/2025,160.82,Bills
T0000321,C00129,11/27/2024,136.19,Transfers
T0000322,C00337,3/10/2025,264.01,Bills
T0000323,C02232,2/8/2025,72.32,Savings
T0000324,C01252,5/12/2025,9.7,Transfers
T0000325,C02821,12/21/2024,69.32,Transfers
T0000326,C02158,11/16/2024,51.1,Transfers
T0000327,C01352,6/26/2024,34.87,Transfers
T0000328,C02561,4/7/2025,40.22,Transfers
T0000329,C00138,9/21/2024,62.22,Airtime
T0000330,C00258,1/23/2024,44.96,Transfers
T0000331,C01005,12/17/2024,99.23,Transfers
T0000332,C02035,10/12/2024,38.91,Bills
T0000333,C01398,5/12/2025,121.52,Bills
T0000334,C02652,1/25/2024,83.17,Savings
T0000335,C00489,4/23/2024,205.45,Bills
T0000336,C00939,1/14/2024,20.26,Bills
T0000337,C02723,1/5/2025,58.61,Savings
T0000338,C00193,5/16/2024,47.55,Transfers
T0000339,C01007,1/2/2025,82.63,Lending
T0000340,C02654,1/19/2024,40.45,Airtime
T0000341,C00320,6/25/2024,38.68,Savings
T0000342,C02589,7/30/2024,56.99,Lending
T0000343,C00279,11/3/2024,15.29,Bills
T0000344,C02285,1/15/2025,49.33,Airtime
T0000345,C01706,10/10/2024,111.71,Bills
T0000346,C02631,1/4/2025,54.5,Lending
T0000347,C02959,6/28/2025,91.41,Lending
T0000348,C01569,6/14/2024,302.01,Transfers
T0000349,C01376,3/19/2024,69.25,Bills
T0000350,C00716,5/16/2025,61.44,Airtime
T0000351,C01447,8/13/2024,33.33,Lending
T0000352,C00880,5/10/2025,12.28,Bills
T0000353,C01016,4/11/2024,22.94,Transfers
T0000354,C00303,5/2/2024,28.26,Transfers
T0000355,C00508,11/6/2024,27.29,Airtime
T0000356,C02694,4/1/2025,45.48,Bills
T0000357,C01008,7/18/2024,21.1,Bills
T0000358,C00904,1/29/2025,70.25,Airtime
T0000359,C02206,4/26/2024,42.68,Transfers
T0000360,C02664,2/1/2025,110.2,Transfers
T0000361,C00717,2/18/2025,91.38,Savings
T0000362,C02242,12/3/2024,20.24,Savings
T0000363,C00638,10/11/2024,61.74,Transfers
T0000364,C01997,4/5/2025,113.57,Savings
T0000365,C02521,10/27/2024,50.29,Airtime
T0000366,C02878,5/13/2025,67.3,Lending
T0000367,C01030,7/4/2024,175.06,Transfers
T0000368,C01955,9/26/2024,25.38,Airtime
T0000369,C02890,4/29/2025,92.87,Transfers
T0000370,C00214,6/23/2024,55.49,Bills
T0000371,C00934,11/13/2024,127.69,Bills
T0000372,C02316,2/20/2025,83.81,Savings
T0000373,C00834,9/3/2024,47.66,Transfers
T0000374,C01949,5/11/2025,30.2,Airtime
T0000375,C00959,3/1/2024,59.42,Transfers
T0000376,C02784,2/25/2024,182.04,Bills
T0000377,C00064,4/9/2025,127.58,Transfers
T0000378,C00136,4/27/2025,78.75,Transfers
T0000379,C00743,5/1/2025,85.01,Savings
T0000380,C01700,12/18/2024,44.91,Bills
T0000381,C00867,11/13/2024,97.36,Transfers
T0000382,C01275,4/28/2024,46.26,Savings
T0000383,C02587,3/9/2024,47.74,Savings
T0000384,C00947,10/17/2024,48.4,Bills
T0000385,C02237,2/6/2025,242.95,Bills
T0000386,C01523,11/18/2024,30.33,Transfers
T0000387,C01013,6/20/2024,53.75,Bills
T0000388,C00440,2/16/2024,37.71,Savings
T0000389,C01273,3/29/2024,50.56,Transfers
T0000390,C02040,6/27/2025,56.2,Lending
T0000391,C02693,11/25/2024,59.43,Savings
T0000392,C01543,2/21/2025,60.67,Airtime
T0000393,C01514,3/13/2024,36.24,Transfers
T0000394,C02165,7/12/2024,25.74,Bills
T0000395,C00949,3/29/2024,72.62,Lending
T0000396,C02295,2/5/2024,70.74,Bills
T0000397,C02816,12/7/2024,93.15,Transfers
T0000398,C02130,11/25/2024,24.22,Bills
T0000399,C00953,12/12/2024,59.94,Bills
T0000400,C01673,4/25/2025,36.57,Bills
T0000401,C01598,11/16/2024,59.01,Bills
T0000402,C00427,5/5/2024,98.25,Savings
T0000403,C01423,1/27/2025,40.53,Savings
T0000404,C01940,12/11/2024,56.47,Transfers
T0000405,C01928,11/25/2024,62.38,Savings
T0000406,C01646,10/26/2024,52.39,Bills
T0000407,C01635,1/30/2025,46.98,Transfers
T0000408,C01412,7/4/2024,50.33,Bills
T0000409,C00297,4/15/2024,40.87,Bills
T0000410,C00364,6/15/2025,206.55,Transfers
T0000411,C02369,10/25/2024,96.31,Transfers
T0000412,C00966,7/31/2024,37.44,Transfers
T0000413,C00910,2/11/2025,96.94,Transfers
T0000414,C01737,12/16/2024,64.25,Airtime
T0000415,C01947,3/27/2024,37.41,Bills
T0000416,C00328,4/29/2024,46.2,Transfers
T0000417,C00902,5/9/2024,100.35,Transfers
T0000418,C00355,6/29/2024,81.87,Bills
T0000419,C01117,3/24/2024,53.33,Transfers
T0000420,C01408,9/1/2024,53.31,Transfers
T0000421,C00817,8/15/2024,49.71,Transfers
T0000422,C02151,4/27/2025,93.52,Bills
T0000423,C00383,2/18/2025,9.71,Transfers
T0000424,C01056,5/15/2025,92.5,Bills
T0000425,C00241,12/15/2024,108.06,Transfers
T0000426,C02083,4/6/2025,73.2,Savings
T0000427,C01648,3/19/2025,88.21,Bills
T0000428,C02727,2/15/2024,91.77,Savings
T0000429,C01952,9/19/2024,50.51,Transfers
T0000430,C01273,6/21/2025,105.15,Lending
T0000431,C00038,10/5/2024,83.64,Transfers
T0000432,C01999,5/7/2025,55.45,Lending
T0000433,C01226,4/25/2025,34.24,Airtime
T0000434,C00616,5/7/2024,28.54,Bills
T0000435,C00052,11/20/2024,56.91,Bills
T0000436,C00579,3/9/2024,88.37,Airtime
T0000437,C01550,6/11/2025,44.52,Transfers
T0000438,C02409,7/22/2024,47.97,Transfers
T0000439,C02289,1/9/2025,42.1,Bills
T0000440,C02665,9/19/2024,59.2,Bills
T0000441,C00654,6/12/2024,125.34,Transfers
T0000442,C00204,1/17/2025,50.13,Transfers
T0000443,C02518,4/14/2025,75.19,Transfers
T0000444,C00091,3/31/2025,50.62,Airtime
T0000445,C01807,5/25/2025,85.76,Transfers
T0000446,C00347,1/24/2025,24.96,Savings
T0000447,C00147,2/19/2025,70.92,Transfers
T0000448,C02429,6/11/2024,37.94,Savings
T0000449,C00447,2/27/2024,88.76,Transfers
T0000450,C01768,7/10/2024,101.12,Savings
T0000451,C00196,3/24/2025,33.93,Transfers
T0000452,C01765,2/15/2025,51.19,Airtime
T0000453,C01308,11/20/2024,40.63,Airtime
T0000454,C00182,1/1/2025,37.5,Bills
T0000455,C02067,6/7/2024,47.4,Transfers
T0000456,C01723,6/8/2025,38.31,Lending
T0000457,C01758,2/22/2024,50.48,Airtime
T0000458,C01157,3/28/2024,58.29,Bills
T0000459,C00675,3/31/2024,84.84,Transfers
T0000460,C01858,5/17/2024,185.78,Bills
T0000461,C02056,6/21/2024,41.9,Airtime
T0000462,C02586,1/12/2024,36.87,Bills
T0000463,C02640,6/17/2025,75.12,Lending
T0000464,C02126,6/4/2024,70.26,Transfers
T0000465,C02993,5/8/2025,178.98,Lending
T0000466,C02157,11/2/2024,29.95,Savings
T0000467,C00413,1/5/2025,116.65,Bills
T0000468,C02593,6/8/2025,65.44,Savings
T0000469,C02824,12/13/2024,48.56,Lending
T0000470,C02398,11/13/2024,99.59,Bills
T0000471,C02003,11/5/2024,70.9,Lending
T0000472,C01062,7/17/2024,100.77,Bills
T0000473,C01578,3/14/2024,113.53,Transfers
T0000474,C02435,5/19/2024,25.83,Transfers
T0000475,C02637,6/3/2024,60.44,Bills
T0000476,C02408,4/27/2024,65.07,Bills
T0000477,C01064,1/12/2024,34.82,Lending
T0000478,C02256,9/29/2024,70.66,Airtime
T0000479,C01575,3/23/2024,45.09,Airtime
T0000480,C00342,11/23/2024,82.5,Transfers
T0000481,C02738,9/4/2024,123.16,Bills
T0000482,C01916,11/14/2024,77.09,Transfers
T0000483,C01382,6/29/2024,22.48,Transfers
T0000484,C01246,4/19/2025,39.59,Transfers
T0000485,C01450,2/27/2024,150.59,Transfers
T0000486,C02969,9/3/2024,71.77,Transfers
T0000487,C01695,6/16/2024,127.1,Airtime
T0000488,C02698,9/8/2024,50.55,Transfers
T0000489,C01342,4/18/2025,34.08,Airtime
T0000490,C02848,6/8/2025,133.91,Lending
T0000491,C02898,7/4/2024,102.02,Bills
T0000492,C02302,8/30/2024,86.89,Bills
T0000493,C01355,2/21/2024,12.62,Transfers
T0000494,C00224,5/13/2025,41.57,Bills
T0000495,C01536,1/30/2024,21.75,Transfers
T0000496,C02897,8/15/2024,33.78,Savings
T0000497,C00305,3/17/2024,110.13,Lending
T0000498,C00347,3/14/2024,86.84,Airtime
T0000499,C02086,5/15/2025,67.92,Bills
T0000500,C02620,7/19/2024,24.48,Lending
T0000501,C00804,8/15/2024,85.01,Transfers
T0000502,C02444,1/16/2024,38.79,Bills
T0000503,C00486,10/6/2024,38.87,Savings
T0000504,C01910,5/14/2025,51.26,Transfers
T0000505,C01347,10/10/2024,85.63,Lending
T0000506,C02086,4/13/2025,65.12,Airtime
T0000507,C02215,8/28/2024,84.02,Bills
T0000508,C01985,9/14/2024,13.66,Airtime
T0000509,C01233,6/23/2025,90.7,Transfers
T0000510,C01051,7/23/2024,64.14,Bills
T0000511,C00694,6/23/2024,51.1,Transfers
T0000512,C01389,8/13/2024,36.44,Transfers
T0000513,C01130,10/19/2024,27.16,Transfers
T0000514,C02732,7/8/2024,184.23,Bills
T0000515,C01618,6/1/2025,23.51,Bills
T0000516,C01111,1/1/2025,74.43,Transfers
T0000517,C00539,2/21/2025,61.72,Savings
T0000518,C00745,2/16/2024,22.78,Bills
T0000519,C01863,2/28/2025,33.23,Lending
T0000520,C01873,6/3/2024,102.91,Savings
T0000521,C02827,1/26/2025,132.96,Transfers
T0000522,C02100,2/18/2025,48.35,Lending
T0000523,C02724,1/2/2024,55.87,Transfers
T0000524,C02970,1/9/2025,66.98,Bills
T0000525,C01417,2/22/2024,47.42,Airtime
T0000526,C01516,2/5/2025,30.96,Savings
T0000527,C00240,6/1/2025,61.23,Transfers
T0000528,C00063,10/19/2024,17.43,Lending
T0000529,C02205,10/25/2024,38.69,Transfers
T0000530,C01160,5/21/2025,32.27,Transfers
T0000531,C00879,7/24/2024,49.71,Bills
T0000532,C00664,10/31/2024,30.52,Lending
T0000533,C02569,3/22/2024,83.27,Bills
T0000534,C00128,7/15/2024,30.49,Airtime
T0000535,C00135,5/8/2025,48.23,Airtime
T0000536,C02501,2/8/2025,83.27,Airtime
T0000537,C01211,2/22/2025,51.85,Transfers
T0000538,C02986,6/1/2025,104.38,Lending
T0000539,C02318,6/11/2025,137.77,Savings
T0000540,C00061,7/31/2024,58,Savings
T0000541,C02578,5/30/2025,36.68,Transfers
T0000542,C00639,7/4/2024,25.47,Bills
T0000543,C01448,8/19/2024,62.38,Transfers
T0000544,C01559,4/4/2025,101.81,Savings
T0000545,C02941,5/4/2025,121.17,Transfers
T0000546,C02393,12/19/2024,47.8,Airtime
T0000547,C00234,1/9/2025,55.11,Transfers
T0000548,C00979,5/5/2024,56.94,Bills
T0000549,C01554,7/16/2024,96.24,Transfers
T0000550,C01586,4/11/2024,33.34,Transfers
T0000551,C01517,4/30/2024,96.65,Bills
T0000552,C02469,7/8/2024,21.96,Transfers
T0000553,C01824,11/18/2024,19.7,Airtime
T0000554,C02119,1/8/2025,24.87,Bills
T0000555,C00373,2/25/2025,39.36,Transfers
T0000556,C02403,10/6/2024,28.88,Bills
T0000557,C01626,4/10/2024,54.12,Lending
T0000558,C01116,2/27/2025,62.34,Transfers
T0000559,C02472,7/15/2024,72.69,Transfers
T0000560,C01396,5/18/2024,47.97,Savings
T0000561,C01405,4/27/2025,82.17,Bills
T0000562,C01627,1/5/2024,74.96,Transfers
T0000563,C01452,7/15/2024,46.81,Transfers
T0000564,C01139,2/19/2025,95.07,Bills
T0000565,C02530,1/22/2025,74.91,Transfers
T0000566,C01847,3/12/2025,110.87,Savings
T0000567,C01664,1/21/2025,43.27,Airtime
T0000568,C00828,6/19/2024,144.39,Transfers
T0000569,C00622,8/9/2024,51.01,Lending
T0000570,C00084,4/9/2025,60.43,Transfers
