customer_id,region,age_group,signup_date
C00222,Ontario,18-24,8/14/2023
C00223,BC,35-44,10/13/2023
C00224,BC,25-34,2/22/2025
C00225,BC,55+,5/17/2024
C00226,Ontario,35-44,8/15/2024
C00227,Alberta,35-44,4/27/2023
C00228,Quebec,55+,4/29/2025
C00229,Alberta,25-34,1/30/2025
C00230,Quebec,35-44,9/22/2024
C00231,Alberta,18-24,12/30/2023
C00232,Ontario,25-34,4/17/2023
C00233,Ontario,35-44,1/26/2023
C00234,BC,25-34,9/10/2023
C00235,Alberta,25-34,12/8/2024
C00236,BC,25-34,1/13/2023
C00237,BC,25-34,2/17/2025
C00238,Ontario,35-44,4/20/2023
C00239,Alberta,35-44,6/28/2023
C00240,Quebec,18-24,11/24/2024
C00241,Ontario,18-24,2/12/2024
C00242,BC,55+,12/12/2023
C00243,BC,18-24,2/25/2025
C00244,Ontario,18-24,4/4/2023
C00245,Quebec,45-54,1/6/2024
C00246,BC,45-54,9/9/2024
C00247,Ontario,55+,6/12/2023
C00248,Manitoba,45-54,2/18/2023
C00249,Alberta,25-34,12/17/2023
C00250,BC,35-44,6/29/2023
C00251,Quebec,25-34,4/25/2023
C00252,Ontario,45-54,5/3/2023
C00253,BC,25-34,3/21/2025
C00254,Quebec,25-34,4/1/2025
C00255,Quebec,25-34,7/7/2023
C00256,Quebec,18-24,4/10/2024
C00257,Ontario,35-44,4/21/2025
C00258,Ontario,18-24,5/15/2025
C00259,Ontario,18-24,1/11/2024
C00260,Ontario,25-34,9/16/2024
C00261,Ontario,25-34,11/8/2024
C00262,Quebec,25-34,7/26/2024
C00263,Ontario,35-44,6/28/2023
C00264,Quebec,18-24,10/9/2023
C00265,Quebec,25-34,8/4/2023
C00266,Alberta,25-34,12/6/2024
C00267,BC,25-34,1/10/2025
C00268,Ontario,25-34,3/23/2024
C00269,Quebec,45-54,1/12/2023
C00270,Quebec,45-54,9/11/2023
C00271,Alberta,35-44,1/7/2024
C00272,Quebec,45-54,4/6/2023
C00273,Ontario,25-34,1/23/2025
C00274,Alberta,55+,3/10/2023
C00275,Alberta,18-24,2/4/2025
C00276,BC,18-24,7/12/2023
C00277,Quebec,25-34,12/26/2024
C00278,Ontario,18-24,9/3/2024
C00279,Quebec,18-24,4/23/2024
C00280,Ontario,25-34,1/16/2023
C00281,Manitoba,18-24,9/19/2023
C00282,Quebec,35-44,4/3/2025
C00283,Quebec,45-54,2/26/2024
C00284,BC,25-34,12/26/2024
C00285,Manitoba,35-44,3/23/2025
C00286,Quebec,25-34,7/4/2024
C00287,Ontario,25-34,8/31/2024
C00288,Quebec,35-44,6/24/2025
C00289,Alberta,18-24,3/15/2023
C00290,Alberta,45-54,4/15/2024
C00291,Alberta,18-24,4/1/2024
C00292,Alberta,35-44,3/7/2023
C00293,Manitoba,25-34,1/26/2024
C00294,Quebec,45-54,7/13/2023
C00295,Ontario,25-34,3/29/2023
C00296,Ontario,35-44,3/22/2025
C00297,Ontario,35-44,12/15/2024
C00298,Ontario,18-24,1/10/2024
C00299,Ontario,35-44,8/18/2024
C00300,Ontario,25-34,3/21/2023
C00301,Ontario,55+,11/27/2023
C00302,Ontario,55+,9/21/2023
C00303,Ontario,35-44,5/31/2024
C00304,Ontario,35-44,3/8/2024
C00305,Quebec,25-34,12/6/2023
C00306,Ontario,25-34,3/11/2024
C00307,Ontario,25-34,12/29/2023
C00308,Ontario,35-44,8/13/2024
C00309,BC,35-44,9/13/2024
C00310,Quebec,45-54,4/28/2025
C00311,Quebec,45-54,5/4/2024
C00312,Ontario,25-34,2/20/2024
C00313,Quebec,25-34,5/21/2023
C00314,Alberta,35-44,3/2/2024
C00315,Quebec,45-54,3/19/2023
C00316,Quebec,18-24,1/28/2024
C00317,Quebec,35-44,10/23/2024
C00318,Alberta,45-54,6/27/2025
C00319,BC,25-34,1/18/2023
C00320,Ontario,25-34,6/3/2023
C00321,BC,18-24,1/4/2024
C00322,Quebec,45-54,3/27/2024
C00323,Manitoba,45-54,6/23/2024
C00324,Ontario,45-54,8/9/2024
C00325,Ontario,35-44,7/28/2023
C00326,Ontario,25-34,1/30/2025
C00327,Ontario,25-34,3/31/2024
C00328,Quebec,25-34,10/14/2024
C00329,Ontario,25-34,4/29/2023
C00330,Alberta,18-24,7/15/2024
C00331,Ontario,25-34,10/1/2023
C00332,BC,25-34,2/23/2024
C00333,Ontario,18-24,6/12/2025
C00334,BC,35-44,3/2/2025
C00335,Ontario,35-44,9/27/2023
C00336,BC,25-34,8/16/2024
C00337,Ontario,18-24,1/15/2025
C00338,Ontario,25-34,3/9/2024
C00339,Ontario,35-44,12/8/2024
C00340,BC,35-44,3/11/2023
C00341,Quebec,35-44,9/10/2024
C00342,Ontario,45-54,6/11/2023
C00343,Alberta,35-44,9/24/2024
C00344,Quebec,18-24,6/12/2025
C00345,BC,35-44,10/26/2024
C00346,Alberta,25-34,8/13/2023
C00347,Quebec,25-34,3/23/2025
C00348,Ontario,18-24,1/1/2023
C00349,Quebec,25-34,2/27/2023
C00350,Quebec,35-44,8/5/2023
C00351,Quebec,45-54,6/25/2023
C00352,Ontario,25-34,2/5/2024
C00353,Alberta,25-34,3/14/2024
C00354,Ontario,18-24,4/19/2024
C00355,Manitoba,25-34,2/6/2023
C00356,BC,25-34,5/20/2024
C00357,Ontario,18-24,7/11/2023
C00358,Quebec,25-34,1/11/2025
C00359,Quebec,55+,2/8/2024
C00360,BC,35-44,11/4/2024
C00361,Alberta,35-44,6/17/2025
C00362,Ontario,25-34,11/26/2023
C00363,Quebec,25-34,7/3/2023
C00364,Ontario,45-54,2/3/2023
C00365,Quebec,25-34,1/23/2023
C00366,BC,25-34,4/4/2024
C00367,Quebec,18-24,4/30/2025
C00368,BC,35-44,11/13/2024
C00369,Ontario,18-24,10/15/2023
C00370,BC,25-34,1/4/2025
C00371,Ontario,25-34,4/13/2025
C00372,BC,18-24,2/27/2023
C00373,Ontario,18-24,4/21/2024
C00374,Ontario,25-34,12/2/2024
C00375,Manitoba,18-24,1/7/2024
C00376,Alberta,25-34,1/12/2024
C00377,Quebec,55+,2/27/2024
C00378,Quebec,25-34,3/16/2024
C00379,Ontario,45-54,4/13/2024
C00380,Quebec,18-24,6/12/2024
C00381,Quebec,35-44,2/23/2024
C00382,Quebec,25-34,5/28/2024
C00383,Quebec,25-34,5/19/2024
C00384,Alberta,18-24,5/26/2023
C00385,BC,35-44,3/12/2023
C00386,Manitoba,35-44,6/5/2023
C00387,BC,18-24,3/5/2024
C00388,Ontario,45-54,10/6/2024
C00389,Ontario,45-54,4/8/2023
C00390,Quebec,35-44,12/31/2024
C00391,Manitoba,45-54,1/19/2023
C00392,Quebec,35-44,1/28/2023
C00393,Ontario,45-54,1/29/2025
C00394,BC,45-54,10/17/2023
C00395,Alberta,25-34,5/31/2024
C00396,Ontario,45-54,8/17/2023
C00397,Alberta,45-54,6/7/2023
C00398,Ontario,25-34,6/1/2023
C00399,Quebec,25-34,12/23/2023
C00400,Ontario,45-54,10/2/2023
C00401,Quebec,25-34,6/15/2024
C00402,Ontario,55+,2/20/2023
C00403,Ontario,35-44,1/22/2025
C00404,Ontario,18-24,3/10/2025
C00405,Alberta,25-34,1/30/2025
C00406,Quebec,45-54,6/8/2024
C00407,Ontario,25-34,12/14/2023
C00408,Ontario,25-34,2/28/2024
C00409,Ontario,25-34,2/3/2025
C00410,Ontario,25-34,2/6/2025
C00411,Quebec,25-34,4/11/2025
C00412,BC,25-34,6/14/2024
C00413,Ontario,45-54,6/12/2024
C00414,Ontario,35-44,8/4/2023
C00415,BC,25-34,7/27/2023
C00416,Quebec,45-54,4/18/2023
C00417,Alberta,35-44,9/30/2023
C00418,Ontario,25-34,5/11/2023
C00419,BC,35-44,10/19/2024
C00420,Quebec,25-34,1/17/2024
C00421,BC,35-44,9/27/2023
C00422,Quebec,25-34,5/11/2023
C00423,BC,35-44,6/20/2024
C00424,Ontario,45-54,5/25/2025
C00425,Alberta,25-34,9/20/2023
C00426,Ontario,25-34,4/13/2023
C00427,BC,35-44,3/3/2025
C00428,Manitoba,25-34,6/7/2025
C00429,Ontario,55+,4/24/2023
C00430,Quebec,35-44,12/16/2024
C00431,Quebec,25-34,6/5/2025
C00432,Alberta,35-44,4/18/2025
C00433,Quebec,45-54,8/26/2024
C00434,BC,45-54,1/29/2025
C00435,Ontario,55+,6/11/2023
C00436,Alberta,18-24,6/26/2023
C00437,Ontario,25-34,1/6/2024
C00438,Manitoba,55+,10/10/2023
C00439,Ontario,35-44,5/8/2025
C00440,BC,45-54,7/7/2023
C00441,Alberta,25-34,10/18/2023
C00442,BC,35-44,2/2/2025
C00443,Ontario,25-34,3/20/2024
C00444,Quebec,35-44,6/8/2025
C00445,Ontario,35-44,8/3/2024
C00446,Ontario,35-44,9/21/2023
C00447,Alberta,25-34,9/27/2023
C00448,Manitoba,55+,12/21/2024
C00449,Ontario,25-34,10/18/2023
C00450,Ontario,45-54,4/21/2023
C00451,Quebec,18-24,4/14/2024
C00452,Ontario,18-24,7/11/2023
C00453,Alberta,25-34,12/16/2024
C00454,Ontario,35-44,6/26/2025
C00455,BC,25-34,8/6/2023
C00456,Quebec,35-44,7/4/2023
C00457,BC,18-24,2/22/2024
C00458,Alberta,25-34,2/23/2024
C00459,BC,25-34,6/12/2025
C00460,Quebec,18-24,6/6/2023
C00461,BC,35-44,12/6/2024
C00462,Quebec,45-54,4/8/2023
C00463,Ontario,45-54,6/22/2024
C00464,BC,25-34,6/27/2025
C00465,Quebec,55+,11/29/2023
C00466,BC,45-54,10/25/2023
C00467,Quebec,25-34,1/20/2023
C00468,Ontario,45-54,4/18/2023
C00469,BC,25-34,5/29/2024
C00470,Ontario,18-24,1/11/2024
C00471,Ontario,45-54,3/13/2024
C00472,Ontario,45-54,2/5/2024
C00473,Alberta,25-34,6/11/2024
C00474,Quebec,35-44,2/7/2023
C00475,Quebec,25-34,2/7/2024
C00476,Quebec,35-44,7/29/2024
C00477,Ontario,45-54,3/8/2023
C00478,Alberta,25-34,10/19/2023
C00479,Ontario,35-44,1/8/2023
C00480,Quebec,45-54,10/22/2023
C00481,Manitoba,35-44,8/9/2023
C00482,BC,45-54,12/7/2024
C00483,BC,25-34,2/2/2023
C00484,BC,45-54,8/20/2024
C00485,Alberta,25-34,6/25/2023
C00486,BC,18-24,3/5/2024
C00487,Ontario,35-44,2/21/2024
C00488,Quebec,35-44,9/29/2023
C00489,Ontario,45-54,6/14/2023
C00490,Ontario,55+,8/9/2023
C00491,Ontario,18-24,4/8/2024
C00492,Ontario,25-34,12/8/2024
C00493,Alberta,45-54,4/12/2023
C00494,Ontario,35-44,2/4/2025
C00495,Ontario,25-34,4/24/2023
C00496,Ontario,18-24,5/9/2025
C00497,Quebec,45-54,2/11/2025
C00498,BC,25-34,11/17/2023
C00499,Alberta,45-54,10/27/2023
C00500,BC,35-44,10/2/2023
C00501,Quebec,35-44,3/24/2025
C00502,Ontario,35-44,6/8/2025
C00503,Quebec,25-34,8/27/2024
C00504,Quebec,18-24,9/19/2023
C00505,BC,35-44,12/1/2023
C00506,Alberta,25-34,11/17/2023
C00507,Ontario,25-34,10/15/2023
C00508,Alberta,35-44,1/30/2024
C00509,BC,18-24,4/29/2025
C00510,Ontario,25-34,1/18/2023
C00511,Alberta,25-34,10/15/2024
C00512,BC,25-34,5/7/2025
C00513,Quebec,18-24,5/17/2023
C00514,Manitoba,18-24,3/20/2024
C00515,BC,25-34,1/28/2025
C00516,Ontario,35-44,5/10/2023
C00517,Quebec,35-44,6/24/2024
C00518,BC,18-24,5/25/2023
C00519,BC,18-24,4/21/2024
C00520,BC,25-34,1/4/2024
C00521,Manitoba,25-34,1/25/2023
C00522,Ontario,25-34,3/8/2025
C00523,Ontario,25-34,6/13/2025
C00524,Quebec,25-34,9/2/2023
C00525,BC,18-24,5/16/2023
C00526,Quebec,18-24,11/23/2024
C00527,BC,18-24,11/4/2024
C00528,Ontario,25-34,6/6/2024
C00529,Alberta,45-54,4/24/2024
C00530,Ontario,45-54,11/12/2023
C00531,Alberta,45-54,5/14/2025
C00532,Quebec,35-44,2/17/2023
C00533,Ontario,25-34,2/16/2024
C00534,BC,18-24,2/24/2023
C00535,Quebec,25-34,7/4/2024
C00536,Ontario,25-34,7/27/2024
C00537,Ontario,25-34,4/10/2025
C00538,Ontario,25-34,11/27/2024
C00539,Quebec,55+,2/23/2023
C00540,Ontario,25-34,10/5/2023
C00541,Ontario,18-24,3/8/2024
C00542,Quebec,25-34,4/22/2025
C00543,Alberta,18-24,9/1/2024
C00544,Alberta,35-44,2/6/2025
C00545,BC,35-44,11/19/2023
C00546,Quebec,25-34,12/16/2024
C00547,Ontario,35-44,12/16/2024
C00548,BC,45-54,2/1/2023
C00549,Ontario,25-34,11/21/2023
C00550,Alberta,18-24,4/19/2023
C00551,Alberta,25-34,6/24/2025
C00552,Ontario,25-34,10/23/2023
C00553,Ontario,45-54,1/8/2023
C00554,Ontario,18-24,3/13/2023
C00555,BC,18-24,6/20/2024
C00556,BC,55+,4/25/2025
C00557,Ontario,25-34,7/5/2024
C00558,Quebec,25-34,8/19/2024
C00559,Ontario,35-44,9/19/2023
C00560,Ontario,45-54,9/5/2024
C00561,Quebec,35-44,6/18/2023
C00562,Ontario,25-34,10/14/2023
C00563,Ontario,45-54,10/23/2024
C00564,BC,35-44,4/9/2023
C00565,Ontario,45-54,3/11/2024
C00566,BC,25-34,1/13/2024
C00567,Quebec,18-24,9/7/2024
C00568,Alberta,18-24,12/25/2023
C00569,Quebec,35-44,11/29/2023
C00570,Alberta,25-34,4/3/2025
C00571,Alberta,18-24,1/22/2023
C00572,Ontario,45-54,5/5/2024
C00573,BC,45-54,4/21/2023
C00574,Quebec,25-34,2/25/2025
C00575,BC,18-24,2/9/2024
C00576,Quebec,25-34,1/3/2023
C00577,Ontario,35-44,4/2/2024
C00578,Quebec,35-44,12/31/2023
C00579,Ontario,35-44,7/16/2023
C00580,Ontario,45-54,12/29/2024
C00581,Ontario,45-54,5/8/2024
C00582,Ontario,55+,9/4/2024
C00583,BC,25-34,6/1/2024
C00584,Ontario,45-54,11/7/2023
C00585,Alberta,35-44,10/12/2023
C00586,Quebec,18-24,3/17/2023
C00587,Quebec,35-44,5/27/2024
C00588,Ontario,25-34,8/6/2024
C00589,Manitoba,18-24,3/7/2023
C00590,Alberta,25-34,6/3/2024
C00591,Ontario,35-44,10/26/2023
C00592,Quebec,25-34,7/9/2023
C00593,Ontario,35-44,5/11/2024
C00594,BC,45-54,3/18/2023
C00595,Quebec,35-44,4/29/2023
C00596,Ontario,55+,12/27/2023
C00597,Ontario,25-34,7/6/2024
C00598,Quebec,45-54,2/24/2024
C00599,Ontario,55+,5/23/2023
C00600,Alberta,25-34,7/7/2023
C00601,Quebec,25-34,8/6/2024
C00602,Quebec,25-34,6/21/2025
C00603,Alberta,25-34,5/14/2024
C00604,BC,35-44,5/5/2025
C00605,BC,25-34,4/28/2025
C00606,Quebec,35-44,6/8/2023
C00607,BC,35-44,4/20/2024
C00608,Manitoba,25-34,6/15/2024
C00609,BC,45-54,2/5/2024
C00610,Ontario,35-44,8/25/2023
C00611,Ontario,35-44,1/12/2023
C00612,Ontario,25-34,5/1/2023
C00613,Alberta,25-34,5/10/2023
C00614,Ontario,25-34,6/27/2023
C00615,Ontario,18-24,7/9/2024
C00616,Ontario,55+,6/12/2025
C00617,Quebec,35-44,8/7/2023
C00618,Quebec,25-34,10/19/2024
C00619,Alberta,35-44,11/26/2024
C00620,Ontario,45-54,7/19/2024
C00621,Manitoba,18-24,1/27/2024
C00622,Ontario,25-34,4/2/2023
C00623,Manitoba,55+,6/12/2023
C00624,Ontario,18-24,12/29/2024
C00625,BC,35-44,10/15/2024
C00626,BC,35-44,4/27/2024
C00627,Quebec,55+,4/28/2024
C00628,BC,25-34,6/29/2024
C00629,Alberta,55+,1/1/2024
C00630,BC,18-24,2/24/2025
C00631,Quebec,25-34,12/27/2023
C00632,Ontario,25-34,6/16/2025
C00633,Quebec,18-24,2/28/2025
C00634,Ontario,55+,3/15/2025
C00635,Ontario,55+,9/7/2023
C00636,Manitoba,18-24,5/26/2024
C00637,Quebec,25-34,11/14/2023
C00638,Alberta,18-24,10/4/2024
C00639,Ontario,18-24,11/10/2023
C00640,Alberta,35-44,5/28/2025
C00641,Quebec,45-54,4/12/2023
C00642,BC,35-44,9/30/2024
C00643,Quebec,18-24,9/15/2024
C00644,Manitoba,45-54,11/13/2023
C00645,Ontario,45-54,4/20/2025
C00646,Quebec,35-44,4/11/2025
C00647,Ontario,25-34,11/24/2024
C00648,Ontario,25-34,3/26/2023
C00649,Quebec,35-44,5/1/2024
C00650,Ontario,45-54,2/10/2024
C00651,Ontario,45-54,6/14/2025
C00652,BC,45-54,10/11/2023
C00653,Quebec,25-34,5/19/2024
C00654,Alberta,25-34,3/18/2023
C00655,Quebec,35-44,12/25/2023
C00656,Alberta,35-44,6/12/2024
C00657,Ontario,45-54,3/6/2025
C00658,Ontario,45-54,2/1/2023
C00659,Quebec,55+,3/27/2024
C00660,Alberta,25-34,5/2/2025
C00661,BC,45-54,8/23/2023
C00662,BC,55+,4/8/2025
C00663,BC,45-54,11/2/2023
C00664,Alberta,18-24,5/1/2025
C00665,Manitoba,55+,12/21/2024
C00666,Alberta,35-44,6/7/2023
C00667,Alberta,25-34,7/6/2024
C00668,Ontario,25-34,4/26/2023
C00669,Ontario,18-24,4/1/2024
C00670,Ontario,25-34,5/2/2025
C00671,Ontario,25-34,6/20/2025
C00672,Ontario,35-44,5/13/2025
C00673,Ontario,35-44,11/23/2024
C00674,Ontario,55+,5/15/2025
C00675,Ontario,35-44,11/10/2023
C00676,Quebec,35-44,2/7/2025
C00677,Ontario,45-54,8/31/2024
C00678,Ontario,18-24,6/8/2023
C00679,Manitoba,45-54,5/28/2023
C00680,Ontario,18-24,8/6/2024
C00681,Ontario,25-34,5/8/2024
C00682,BC,25-34,3/16/2025
C00683,Ontario,25-34,7/21/2024
C00684,Quebec,55+,11/16/2024
C00685,BC,25-34,8/29/2024
C00686,Quebec,25-34,10/11/2024
C00687,BC,45-54,3/16/2025
C00688,Alberta,25-34,4/4/2023
C00689,Alberta,45-54,12/30/2024
C00690,BC,25-34,3/16/2023
C00691,Ontario,25-34,4/14/2024
C00692,Ontario,45-54,6/28/2025
C00693,BC,25-34,12/25/2024
C00694,BC,55+,10/26/2024
C00695,Ontario,25-34,8/21/2024
C00696,Quebec,18-24,7/25/2024
C00697,Ontario,35-44,5/15/2025
C00698,Ontario,25-34,7/25/2024
C00699,Quebec,35-44,1/18/2023
C00700,Alberta,35-44,10/20/2024
C00701,Quebec,55+,11/26/2023
C00702,BC,25-34,6/20/2024
C00703,Ontario,45-54,3/13/2024
C00704,BC,35-44,10/24/2024
C00705,Quebec,18-24,2/21/2024
C00706,Quebec,35-44,7/16/2024
C00707,Quebec,35-44,10/14/2023
C00708,Ontario,55+,5/20/2025
C00709,Ontario,25-34,4/7/2024
C00710,Quebec,35-44,4/5/2024
C00711,Alberta,35-44,4/22/2024
C00712,Ontario,35-44,1/6/2023
C00713,Quebec,35-44,3/5/2025
